Industry Rankings - 2026-03-22 21:22 UTC
Tickers: 520 | Industries: 180

========================================================================================================================
Period: 5-Day Performance
========================================================================================================================

Rank  Industry                                       Avg      Std  Count  Top 5 Stocks
  95  RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT    -2.16%   2.23%      2  QCOM +0.06%, MSI -4.39%
  96  MEAT PACKING PLANTS                         -2.21%   0.00%      1  HRL -2.21%
  97  BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)    -2.29%   2.62%      5  TECH +1.24%, BIIB -0.05%, MRNA -2.25%, AMGN -5.03%, GILD -5.37%
  98  ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS    -2.34%   0.00%      1  HWM -2.34%
  99  SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS    -2.35%   1.32%      4  GRMN -0.50%, LHX -1.70%, TDY -3.56%, NOC -3.65%
 100  REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS    -2.40%   0.00%      1  INVH -2.40%
 101  COMPUTER PERIPHERAL EQUIPMENT, NEC          -2.44%   0.01%      2  PANW -2.43%, FTNT -2.44%
 102  GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)    -2.45%   0.00%      1  HAS -2.45%
 103  SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.    -2.47%   4.22%      7  FDS +1.76%, MTCH +0.88%, GOOGL -0.42%, GOOG -0.89%, META -3.27%
 104  AIRCRAFT & PARTS                            -2.50%   0.00%      1  TXT -2.50%
 105  MOTOR VEHICLES & PASSENGER CAR BODIES       -2.55%   2.44%      4  GM +0.58%, F -1.29%, PCAR -3.54%, TSLA -5.94%
 106  INSURANCE CARRIERS, NEC                     -2.62%   0.00%      1  AIZ -2.62%
 107  REFUSE SYSTEMS                              -2.64%   0.42%      2  RSG -2.22%, WM -3.06%
 108  PHARMACEUTICAL PREPARATIONS                 -2.66%   2.56%     11  PFE +1.47%, ZTS +0.04%, MRK -1.24%, REGN -1.73%, VTRS -2.29%
 109  Unknown                                     -2.67%  13.13%     26  ARM +14.34%, JNPR +9.27%, DFS +5.25%, FBHS +3.44%, RE +3.42%
 110  FOOD AND KINDRED PRODUCTS                   -2.72%   4.09%      3  MDLZ +2.40%, CPB -2.95%, CAG -7.62%
 111  WATER SUPPLY                                -2.79%   0.00%      1  AWK -2.79%
 112  AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS    -2.85%   0.00%      1  TT -2.85%
 113  GUIDED MISSILES & SPACE VEHICLES & PARTS    -2.87%   0.00%      1  LMT -2.87%
 114  CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES    -2.91%   1.56%      2  LW -1.36%, KHC -4.47%
 115  RAILROADS, LINE-HAUL OPERATING              -2.95%   0.11%      3  NSC -2.86%, CSX -2.88%, UNP -3.10%
 116  WHOLESALE-DURABLE GOODS                     -2.98%   0.00%      1  GWW -2.98%
 117  PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS    -3.00%   2.59%      4  DOW +0.08%, ALB -0.96%, DD -5.48%, EMN -5.66%
 118  WHOLESALE-MISC DURABLE GOODS                -3.05%   0.00%      1  POOL -3.05%
 119  AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC    -3.07%   0.00%      1  TDG -3.07%
 120  FARM MACHINERY & EQUIPMENT                  -3.08%   0.00%      1  DE -3.08%
 121  CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)    -3.14%   2.49%      2  KMB -0.65%, AVY -5.63%
 122  BEVERAGES                                   -3.16%   1.84%      5  STZ -0.35%, BF.B -2.94%, KDP -2.99%, KO -3.35%, PEP -6.15%
 123  RETAIL-GROCERY STORES                       -3.17%   0.00%      1  KR -3.17%
 124  SERVICES-MANAGEMENT SERVICES                -3.20%   0.00%      1  IT -3.20%
 125  SUGAR & CONFECTIONERY PRODUCTS              -3.20%   0.00%      1  HSY -3.20%
 126  PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS    -3.21%   0.98%      2  EL -2.23%, CL -4.19%
 127  MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)    -3.30%   0.65%      2  VMC -2.64%, MLM -3.95%
 128  SERVICES-AMUSEMENT & RECREATION SERVICES    -3.33%   0.00%      1  LYV -3.33%
 129  STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)    -3.45%   0.45%      2  NUE -3.00%, STLD -3.90%
 130  CUTLERY, HANDTOOLS & GENERAL HARDWARE       -3.49%   0.60%      2  SNA -2.89%, SWK -4.09%
 131  DRAWING & INSULATING OF NONFERROUS WIRE     -3.52%   0.00%      1  GLW -3.52%
 132  SERVICES-ADVERTISING AGENCIES               -3.52%   0.00%      1  OMC -3.52%
 133  OPERATIVE BUILDERS                          -3.55%   1.55%      3  NVR -1.50%, PHM -3.89%, DHI -5.25%
 134  POULTRY SLAUGHTERING AND PROCESSING         -3.55%   0.00%      1  TSN -3.55%
 135  GAS & OTHER SERVICES COMBINED               -3.56%   0.00%      1  SRE -3.56%
 136  SERVICES-EQUIPMENT RENTAL & LEASING, NEC    -3.63%   0.00%      1  URI -3.63%
 137  SERVICES-VIDEO TAPE RENTAL                  -3.66%   0.00%      1  NFLX -3.66%
 138  WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES    -3.68%   0.00%      1  LKQ -3.68%
 139  REAL ESTATE INVESTMENT TRUSTS               -3.95%   2.46%     27  HST +0.49%, BXP +0.13%, EQIX -1.11%, SPG -1.23%, FRT -1.28%
 140  RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY    -3.98%   0.82%      3  TSCO -3.11%, FAST -3.74%, SHW -5.08%
 141  RETAIL-VARIETY STORES                       -3.99%   1.62%      5  DLTR -1.43%, TGT -3.48%, COST -3.58%, DG -5.55%, WMT -5.93%
